name,address,city,state,zipcode,ethash
KELLY INFINITI,155 ANDOVER ST,DANVERS,MA,01923,A0192314189468052EB18C0A13E5E36D1C1F8F7355D463CB170000
INFINITISO MISSISSIPPI,11779 BOBBY ELEUTERIUS,DIBERVILLE,MS,39540,A395408715F13202A2A774F27885753C82D718F7D24826DE420000
PERRY INFINITI,855 LA TERRAZA BLVD,ESCONDIDO,CA,92025,A920253815A8889E4430FB04FF4780B3517D2C0FB7E91AEB9B0000
RAMSEY INFINITI,535 ROUTE 17 S,RAMSEY,NJ,07446,A074462014A4189528EBA802FC3A8533321F45CC88726A31D10000
RAY CATENA INFINITI OF BRIDGEWATER,1350 ROUTE 22 EAST,BRIDGEWATER,NJ,08807,A088072974A3FC5C3D4AAAD2A4CBAB80E8AA7E010D09CD4CCA0000
BRADSHAW INFINITI,2600 LAURENS ROAD,GREENVILLE,SC,29607,A29607381809B73C7AF31601C914E19630EAB5B1FE4D3256C00000
PRIORITY INFINITI OF GREENBRIER,1812 GREENBRIER PARKWAY,CHESAPEAKE,VA,23320,A2332026067221027B5716CEA49C8344FA8571356A30F0A1860000
INFINITI OF WARWICK,1085 CENTERVILLE RD,WARWICK,RI,02886,A02886423054C1D020141A3330A5DBC13C3ECAEDFB13806FFC0000
INFINITI EL PASO,1140 AIRWAY BLVD,EL PASO,TX,79925,A79925362878C930E32A76108DDDB2D56B95AF08C278FA5B2D0000
FAULKNER INFINITI OF WILLOW GROVE,1510 EASTON RD,WILLOW GROVE,PA,19090,A190901284CEF655664151E48C47704524A1E64560A8A41CF70000
DREYER  REINBOLD INFINITI,9370 WHITLEY DR,INDIANAPOLIS,IN,46240,A46240136333669E924C8DD10500D375900287F3F20E7C4B050000
SOUTHWEST INFINITI,10495 SOUTHWEST FREEWAY,HOUSTON,TX,77074,A770741191D2F38B4439ECEF1039ED0E201352AFB1EE9862910000
CREST INFINITI,6100 STATE HIGHWAY 121,FRISCO,TX,75034,A750347703771AC8C4193EA6F7B205112B84C8B1DF08567F640000
SEWELL INFINITI OF NORTH HOUSTON,17825 NORTH FWY,HOUSTON,TX,77090,A770904907B9AAA04026715CF0AB7787E90F88A10E78644B420000
BRONCO MOTORS INFINITI,15675 IDAHO CENTER BLVD,NAMPA,ID,83687,A836874106A192E3DB52ED6769A020BA48AFF6B5E35F231CCA0000
SEWELL INFINITI,7110 LEMMON AVE,DALLAS,TX,75209,A7520936089E6EF2E225E8C483FACC19A5A90F4FBD2E76328E0000
CLEAR LAKE INFINITI,14705 GULF FREEWAY,HOUSTON,TX,77034,A7703453538F3E44BAF93EDE927A5F0DE01ED4216990F144090000
BAKER INFINITI CHARLESTON,1501 SAVANNAH HWY,CHARLESTON,SC,29407,A2940778220F303D3431181A2355611821D3A3082F1E4A71F10000
BERGSTROM INFINITI,2950 N VICTORY LANE,APPLETON,WI,54913,A549137987E4E6C18B0846C38D44D1F0DF89DACEEA5F5AEAE30000
SEWELL INFINITI OF FORT WORTH,5135 BRYANT IRVIN RD,FORT WORTH,TX,76132,A7613238058EB20AADA1BCAB0D9E63E3DFE0827D5831F64F4C0000
INFINITI OF TALLAHASSEE,3355 CAPITAL CIRCLE NE,TALLAHASSEE,FL,32308,A32308373624EA7CDDB2AEF7DE875A6519606178BBB7BEA23F0000
BILL DODGE INFINITI,1 SAUNDERS WAY,WESTBROOK,ME,04092,A0409251037CEA9BD487AFE3901ADED44CA74ECD1EB2340A170000
INFINITI OF HANOVER,2060 WASHINGTON STREET,HANOVER,MA,02339,A02339161784845B2D8BDDF5488EFF9BD3CC752AE705F908EE0000
PEPE INFINITI,300 CENTRAL AVENUE,WHITE PLAINS,NY,10606,A1060612805DA5780626447BBC9A1A014538BF8212E9E489B70000
ROSWELL INFINITI OF NORTH ATLANTA,11405 ALPHARETTA HWY,ROSWELL,GA,30076,A300763802A924745EE8B1413BD1308E70A1D0A26B530F20DE0000
INFINITI OF BAKERSFIELD,5200 GASOLINE ALLEY,BAKERSFIELD,CA,93313,A933133209DC7D53DA957CA92417E9407FC2450FC776F5AE500000
SMITH INFINITIHUNTSVILLE,1010 OLD MONROVIA RD NW,HUNTSVILLE,AL,35806,A35806350453B4BD3A18FFA725C7905D7AC6852331639646FD0000
ORLANDO INFINITI,4237 MILLENIA BLVD,ORLANDO,FL,32839,A3283924318B9734F964FA99962ED15B5DA8AE3CF52D5071500000
INFINITI OF PEORIA,9167 W BELL RD,PEORIA,AZ,85382,A85382471224B145BD7AE5A8259BDA3E2864AF39C78F3CC11D0000
INFINITI OF BAYSIDE,21707 NORTHERN BLVD,BAYSIDE,NY,11361,A1136135597FFF8AE715CF0591D88D548753B6AB15E5134B990000
DEVAN INFINITI OF FAIRFIELD,26 COMMERCE DRIVE,FAIRFIELD,CT,06825,A0682555587F6C8EDAF9DE8D61834438C30D48B284847136380000
GERMAIN INFINITI OF EASTON,3833 MORSE ROAD,COLUMBUS,OH,43219,A432193013410F326534C60FB4F44F015C01E0753D2502EEBC0000
LAKE NORMAN INFINITI,20435 CHARTWELL CENTER DR,CORNELIUS,NC,28031,A280316223A7CE9797B233E34A93A1B0C1680903E690E6A7DA0000
DICK SMITH INFINITI,3670 FERNANDINA RD,COLUMBIA,SC,29210,A292105263307BC89917B5EC9356346F0DD8D455B4D4B31A8B0000
INFINITI OF LAFAYETTE,6201 JOHNSTON STREET,LAFAYETTE,LA,70503,A705035927BAD3119D4CE89C5945F14BBA0B3C34ED18BFBAA80000
INFINITI OF CHARLOTTE,9103 E INDEPENDENCE BLVD,MATTHEWS,NC,28105,A281054503A964070C3C9ACB707F09E6E8390122ACE251E3F30000
ED HICKS INFINITI,3026 S PADRE ISLAND DR,CORPUS CHRISTI,TX,78415,A784151814C8CE5244938D8E759030FBEC8455C651879CE36D0000
INFINITI OF DAYTON,299 LOOP RD,CENTERVILLE,OH,45459,A4545921645EC7CB68DEA326119202893FE93BB0B804688AF00000
METRO INFINITI,821 E CENTRAL AVE,MONROVIA,CA,91016,A910164277A50110A28545F550BB3A03A4B869726B3795663D0000
COCHRAN INFINITI,11740 PERRY HIGHWAY,WEXFORD,PA,15090,A15090837148AB22729D6173378BF223CCCF6E4015FD70F0C50000
BOB MOORE INFINITI,13000 N KELLEY AVE,OKLAHOMA CITY,OK,73131,A73131123313C95C6188A5EAB6BD09DDF68334BCE83B4264860000
BOMMARITO INFINITI,15700 MANCHESTER RD,ELLISVILLE,MO,63011,A6301122063B5F93569A6D4D2CA118AA25B36C4EF2C6D4AD5C0000
