"buckloc_id","name","address","city","state","zipcode"
"9c6h8FbK2iZMCrcdo","Sheehy Nissan Glen Burnie","7232 RITCHIE HWY","GLEN BURNIE","MD","21061"
"9f7PoD3jP8K5pxZ2g","Hanlees Davis Nissan","5009 CHILES RD","DAVIS","CA","95618"
"9fTWT8aFEbgkzqJpd","Jeffrey Nissan","30800 GRATIOT AVE","ROSEVILLE","MI","48066"
"9k5JEDG72zToRg4YH","Alexander Nissan","10 ALEXANDER DR","MUNCY","PA","17756"
"9yN25xjCWGy4o5jKf","Nissani Bros","5750 Mesmer Ave Suite B","CULVER CITY","CA","90230"
"A6FCsc5kQGP3udak3","Nissan of Turnersville","3400 ROUTE 42","TURNERSVILLE","NJ","08012"
"A7km22N5DG6Z7qhqn","Dorschel Nissan Kia","3817 W HENRIETTA RD","ROCHESTER","NY","14623"
"A7omZrMDPk2YWq3Yh","Bennington Chevrolet Buick GMC Nissan","24 PERFORMANCE DRIVE","BENNINGTON","VT","05201"
"A9Hm5u7fLaYxFKNzG","Cronic Nissan","2624 N EXPRESSWAY","GRIFFIN","GA","30223"
"ADxtBErCdtHhNQrum","Nissan of Columbus","3580 N NATIONAL RD","COLUMBUS","IN","47201"
"AGxetfCrFbmCiHnEm","Tri-state Nissan","1230 MILLWOOD PIKE","WINCHESTER","VA","22602"
"ALPs387r8wD3GnKwE","Lee Johnson Nissan of Kirkland","11930 124TH AVE","KIRKLAND","WA","98034"
"ALQgx4qLb3TnLNgjC","Fitzgerald Chambersburg Toyota Scion Nissan","1436 LINCOLN WAY E","CHAMBERSBURG","PA","17202"
"ARoofhrKBnZBtPSfR","Kline Nissan","3090 N HIGHWAY 61","MAPLEWOOD","MN","55109"
"AWfjQevgeY4sMmSe7","Nissan of Elizabeth City","1712 N ROAD ST","ELIZABETH CITY","NC","27909"
"AWwAbMZKgCaxZqGwL","Sutherlin Nissan","13985 S TAMIAMI TRL","FORT MYERS","FL","33912"
"AcKB2P2aeo3BCBLuW","Carriage Nissan","2400 BROWNS BRIDGE RD","GAINESVILLE","GA","30504"
"Ah6P4xGazHSAuX7iA","Larry H Miller Nissan Mesa","2025 W RIVERVIEW AUTO DR","MESA","AZ","85201"
"AjHDcEsTAXRKtRgKy","United Nissan","3025 E SAHARA AVE","LAS VEGAS","NV","89104"
"AjSgv6eA7vktnWaeF","Hyman Bros Nissan","11841 MIDLOTHIAN TPKE","MIDLOTHIAN","VA","23113"
"AkJDh2umMcAjKguMx","Riverside Mazda","8330 INDIANA AVE","RIVERSIDE","CA","92504"
"Aqowg3pP7sGFkDGHu","Horne Nissan","2046 HIGHWAY 60","GLOBE","AZ","85501"
"AvpiobHsMMZQ6Po6u","Smithtown Nissan","535 MIDDLE COUNTRY ROAD","SAINT JAMES","NY","11780"
"AvyQiySQ7yRoPZKqQ","Bill Kays Downers Grove Nissan","1601 OGDEN AVE","DOWNERS GROVE","IL","60515"
"AwbuPmQSrfeeddGM6","Flow Nissan of Fayetteville","4559 RAEFORD ROAD","FAYETTEVILLE","NC","28304"
"Ay8sSu39rfabQAMix","Valley Nissan","1005 KEN PRATT BLVD","LONGMONT","CO","80501"
"Ayk22o2LRwNSTzNEJ","Flowers Nissan","1630 E JACKSON STREET","THOMASVILLE","GA","31792"
"B2DdeeRd8xfCotERm","Jim Bass Nissan","4052 W HOUSTON HARTE EXPY","SAN ANGELO","TX","76901"
"BEzpYBsP3DW7wtf5d","ORR Nissan of Searcy","3131 E. BEEBE CAPPS EXPWY","SEARCY","AR","72143"
"BLt9TkGE7hfqmAjgv","Razzari Nissan","1675 AUTO CENTER DR","MERCED","CA","95340"
"BRu2ZGXR7vr5rXgNb","WHARTON NISSAN","1237 7TH STREET","PARKERSBURG","WV","26101"
"BXpmnhChybkwFBT3a","Wilson Ford Lincoln","328 N MAIN ST","LOGAN","UT","84321"
"Bck5FxX4LnozMePoj","Courtesy Car City","2301 39TH AVE","MOLINE","IL","61265"
"BfJodedW7Jd7HXxuR","Obrien Nissan of Bloomington","2029 IRELAND GROVE RD","BLOOMINGTON","IL","61704"
"BgDyDMktfnp3piwuv","Family Nissan of Laredo","3701 E Saunders Ste C","LAREDO","TX","78041"
"BhzH46awasySM3YXL","South Austin Nissan","4914 s i h 35","AUSTIN","TX","78745"
"BiQmPmZuav6eDEEJx","MARC Motors Nissan","1357 MAIN ST","SANFORD","ME","04073"
"BkN4sqNTAWiE2Lc8m","Marlboro Nissan","740 BOSTON POST RD","MARLBOROUGH","MA","01752"
"Bpih39fiHPcbNv8oq","Key Nissan of Lebanon","51 EVANS DR","LEBANON","NH","03766"
"BuXxxtiSN6gxarmLp","Nissan of Murfreesboro","814 MEMORIAL BLVD","MURFREESBORO","TN","37129"
"BucFAPAoecPZx4bNG","Nissan of Reno","865 KIETZKE LN","RENO","NV","89502"
"BzSY9EmdKN7FnfBN5","Trophy Nissan","5031 N GALLOWAY AVE","MESQUITE","TX","75150"
"C6guZeBnCbkWGH2mY","Modern Nissan","5795 UNIVERSITY PKWY","WINSTON SALEM","NC","27105"
"CAFm8x7meieQ5v6ra","Team Nissan Manchester","1801 AUTO CENTER DR","OXNARD","CA","93036"
"CAe9oSTM24ZR9wyHe","Dublin Nissan","6450 DUBLIN CT","DUBLIN","CA","94568"
"CF2TZBqWvN2M7ZF8E","JIM SIGEL AUTOMOTIVE CENTER","1601 NE SEVENTH ST","GRANTS PASS","OR","97526"
"CFisMBX4QK73M59EK","Twin City Nissan","10549 HWY 69","PORT ARTHUR","TX","77640"
